BMI,Gender,Age,Fitness_Level,Goal,Exercise
22.6,Male,33,Beginner,Flexibility,Spiderman Stretch
34.0,Male,56,Intermediate,Endurance,Air Squats
20.7,Male,45,Advanced,Endurance,Cycling (Outdoor)
22.1,Male,38,Intermediate,Fat Loss,Burpees
16.4,Male,58,Beginner,Strength,Machine Leg Extension
22.3,Male,32,Beginner,Strength,Lat Pulldown
32.0,Male,30,Beginner,Flexibility,Shoulder Pass-Throughs
27.5,Male,35,Advanced,Fat Loss,Kettlebell Swing
29.6,Male,22,Intermediate,Endurance,Recumbent Bike
29.9,Female,35,Advanced,Flexibility,Pigeon Pose
31.0,Female,57,Beginner,Endurance,Battle Ropes
22.2,Male,60,Intermediate,Strength,Barbell Squat
23.3,Male,20,Intermediate,Endurance,Plank
23.1,Female,38,Advanced,Strength,Dumbbell Rows
34.0,Male,50,Beginner,Fat Loss,Dumbbell Lunges
29.0,Male,58,Beginner,Strength,Overhead Press
23.3,Female,51,Beginner,Fat Loss,Step Ups
19.9,Male,36,Intermediate,Strength,Pull Ups
34.5,Female,23,Advanced,Strength,Overhead Press
17.9,Female,54,Intermediate,Endurance,Air Squats
24.4,Male,35,Intermediate,Fat Loss,Goblet Squat
17.9,Male,58,Advanced,Strength,Lat Pulldown
34.1,Male,34,Beginner,Endurance,Air Squats
21.9,Female,57,Beginner,Flexibility,Deep Squat Hold
32.3,Female,52,Beginner,Flexibility,Pigeon Pose
21.0,Female,60,Beginner,Strength,Bench Press
30.5,Female,25,Intermediate,Fat Loss,Step Ups
21.0,Female,60,Beginner,Strength,T-Bar Row
18.6,Female,26,Advanced,Fat Loss,Elliptical Trainer
33.8,Male,26,Intermediate,Fat Loss,Dumbbell Lunges
23.1,Female,38,Advanced,Strength,Leg Press
32.4,Male,50,Advanced,Endurance,Wall Sit
27.7,Female,46,Intermediate,Flexibility,Forward Fold
29.3,Female,21,Beginner,Strength,Barbell Squat
26.5,Female,25,Advanced,Flexibility,Forward Fold
23.5,Male,18,Beginner,Endurance,Kettlebell Clean & Press
30.3,Female,60,Advanced,Fat Loss,Elliptical Trainer
27.2,Male,53,Beginner,Endurance,Air Squats
34.0,Female,33,Beginner,Fat Loss,Mountain Climbers
16.7,Female,37,Beginner,Fat Loss,Kettlebell Swing
21.8,Female,24,Beginner,Endurance,Air Squats
28.1,Female,49,Intermediate,Fat Loss,Goblet Squat
24.2,Female,35,Advanced,Endurance,Air Squats
34.3,Female,21,Beginner,Flexibility,Forward Fold
32.7,Male,24,Beginner,Flexibility,Shoulder Pass-Throughs
22.2,Male,59,Beginner,Flexibility,Cat-Cow Stretch
33.5,Female,50,Intermediate,Strength,Deadlift
30.1,Male,48,Intermediate,Fat Loss,Dumbbell Lunges
18.8,Female,53,Intermediate,Flexibility,Forward Fold
24.5,Female,54,Advanced,Strength,Lat Pulldown
15.1,Male,32,Beginner,Fat Loss,Burpees
29.7,Male,33,Beginner,Endurance,Kettlebell Clean & Press
22.3,Male,46,Beginner,Strength,Machine Chest Fly
20.6,Male,57,Intermediate,Fat Loss,Elliptical Trainer
33.8,Male,26,Intermediate,Fat Loss,Goblet Squat
23.6,Female,55,Beginner,Endurance,Wall Sit
31.0,Male,58,Beginner,Fat Loss,Mountain Climbers
22.6,Male,33,Beginner,Flexibility,Forward Fold
23.7,Female,48,Beginner,Fat Loss,Kettlebell Swing
16.5,Male,49,Beginner,Endurance,Air Squats
28.7,Male,56,Intermediate,Flexibility,Deep Squat Hold
32.2,Male,55,Advanced,Flexibility,Deep Squat Hold
20.2,Female,23,Advanced,Strength,T-Bar Row
19.8,Male,56,Beginner,Flexibility,Pigeon Pose
31.3,Female,52,Beginner,Endurance,Recumbent Bike
15.6,Male,20,Beginner,Fat Loss,Step Ups
16.7,Female,20,Intermediate,Endurance,Running (Outdoor)
23.0,Male,49,Beginner,Endurance,Cycling (Outdoor)
32.1,Male,36,Advanced,Endurance,Push Ups
28.6,Female,36,Advanced,Flexibility,Cat-Cow Stretch
31.8,Female,47,Beginner,Flexibility,Shoulder Pass-Throughs
15.6,Male,33,Beginner,Fat Loss,Step Ups
34.4,Female,35,Beginner,Strength,T-Bar Row
20.8,Female,58,Advanced,Endurance,Wall Sit
33.1,Female,59,Advanced,Fat Loss,Dumbbell Lunges
16.1,Female,59,Advanced,Strength,Leg Press
25.8,Male,32,Beginner,Flexibility,Deep Squat Hold
21.9,Male,20,Beginner,Strength,Machine Chest Fly
33.7,Male,45,Advanced,Flexibility,Forward Fold
24.4,Male,35,Intermediate,Fat Loss,Dumbbell Lunges
19.6,Female,59,Advanced,Strength,Deadlift
17.4,Male,39,Intermediate,Strength,Overhead Press
18.6,Female,26,Advanced,Fat Loss,Jumping Jacks
19.9,Female,22,Intermediate,Strength,Bench Press
24.4,Female,47,Advanced,Strength,T-Bar Row
25.7,Male,35,Beginner,Fat Loss,Goblet Squat
34.0,Male,32,Intermediate,Strength,Overhead Press
20.2,Female,19,Advanced,Fat Loss,Step Ups
15.4,Male,56,Beginner,Flexibility,Forward Fold
35.0,Female,56,Intermediate,Endurance,Cycling (Outdoor)
28.7,Female,45,Beginner,Endurance,Kettlebell Clean & Press
16.0,Male,57,Advanced,Endurance,Recumbent Bike
22.1,Male,58,Advanced,Fat Loss,Goblet Squat
17.8,Female,31,Intermediate,Strength,T-Bar Row
18.6,Female,45,Intermediate,Fat Loss,Burpees
25.8,Male,32,Beginner,Flexibility,Cat-Cow Stretch
33.7,Male,45,Advanced,Flexibility,Shoulder Pass-Throughs
29.0,Male,58,Beginner,Strength,Overhead Press
15.2,Female,30,Beginner,Strength,Lat Pulldown
30.7,Female,27,Beginner,Endurance,Push Ups
17.6,Female,39,Intermediate,Flexibility,Hamstring Stretch (Standing)
26.5,Female,59,Intermediate,Fat Loss,Elliptical Trainer
35.0,Male,31,Advanced,Flexibility,Child's Pose
28.6,Female,36,Advanced,Flexibility,Hamstring Stretch (Standing)
16.6,Female,58,Advanced,Endurance,Wall Sit
18.9,Male,30,Intermediate,Strength,Lat Pulldown
18.8,Female,59,Beginner,Endurance,Battle Ropes
26.1,Male,46,Advanced,Flexibility,Pigeon Pose
17.9,Female,54,Intermediate,Endurance,Cycling (Outdoor)
34.1,Male,34,Beginner,Endurance,Running (Outdoor)
29.2,Female,26,Beginner,Endurance,Cycling (Outdoor)
34.0,Male,31,Advanced,Endurance,Cycling (Outdoor)
28.5,Male,58,Beginner,Endurance,Running (Outdoor)
31.5,Male,22,Beginner,Endurance,Plank
29.4,Male,49,Intermediate,Strength,Deadlift
27.7,Female,26,Intermediate,Strength,Bench Press
19.5,Male,47,Advanced,Fat Loss,Step Ups
22.1,Male,38,Intermediate,Fat Loss,Kettlebell Swing
34.3,Male,59,Beginner,Fat Loss,Burpees
17.1,Female,33,Advanced,Strength,T-Bar Row
18.9,Male,35,Advanced,Endurance,Battle Ropes
32.3,Female,52,Beginner,Flexibility,Deep Squat Hold
34.1,Male,34,Beginner,Endurance,Push Ups
28.5,Male,58,Beginner,Endurance,Running (Outdoor)
26.6,Female,23,Beginner,Fat Loss,Mountain Climbers
26.5,Female,59,Intermediate,Fat Loss,Goblet Squat
20.5,Male,19,Advanced,Strength,Pull Ups
24.0,Male,36,Intermediate,Strength,Pull Ups
19.5,Male,47,Advanced,Fat Loss,Jumping Jacks
21.8,Male,37,Advanced,Strength,Machine Chest Fly
25.3,Female,37,Intermediate,Endurance,Plank
23.4,Male,19,Advanced,Flexibility,Spiderman Stretch
30.5,Female,25,Intermediate,Fat Loss,Jump Rope
23.9,Male,34,Advanced,Strength,Leg Press
16.2,Female,54,Advanced,Flexibility,Pigeon Pose
33.6,Male,38,Advanced,Flexibility,Cat-Cow Stretch
29.9,Female,45,Beginner,Flexibility,Hamstring Stretch (Standing)
22.1,Male,24,Advanced,Strength,Deadlift
27.5,Female,20,Advanced,Fat Loss,Elliptical Trainer
32.9,Male,59,Advanced,Strength,Lat Pulldown
18.9,Male,46,Intermediate,Flexibility,Child's Pose
16.7,Female,25,Advanced,Flexibility,Shoulder Pass-Throughs
31.1,Female,49,Advanced,Flexibility,Forward Fold
19.1,Female,60,Beginner,Strength,Overhead Press
23.9,Male,34,Advanced,Strength,Dumbbell Rows
19.6,Female,59,Advanced,Strength,Machine Leg Extension
30.2,Female,55,Advanced,Strength,Pull Ups
27.1,Male,55,Advanced,Endurance,Push Ups
29.8,Male,26,Advanced,Fat Loss,Jump Rope
31.8,Female,47,Beginner,Strength,Overhead Press
33.2,Male,36,Beginner,Fat Loss,Kettlebell Swing
19.3,Male,49,Advanced,Strength,Dumbbell Rows
21.1,Female,18,Beginner,Endurance,Kettlebell Clean & Press
22.9,Male,30,Intermediate,Fat Loss,Burpees
18.9,Male,35,Advanced,Endurance,Push Ups
26.6,Female,23,Beginner,Fat Loss,Goblet Squat
22.7,Female,30,Advanced,Endurance,Cycling (Outdoor)
32.2,Female,21,Intermediate,Strength,Lat Pulldown
22.7,Female,34,Beginner,Endurance,Battle Ropes
27.1,Female,47,Intermediate,Strength,Lat Pulldown
16.5,Male,49,Beginner,Endurance,Wall Sit
34.8,Female,38,Beginner,Flexibility,Forward Fold
17.6,Male,34,Intermediate,Flexibility,Pigeon Pose
20.9,Male,23,Advanced,Fat Loss,Burpees
22.3,Male,22,Beginner,Fat Loss,Jumping Jacks
27.4,Male,26,Beginner,Strength,T-Bar Row
30.2,Female,47,Intermediate,Endurance,Wall Sit
29.4,Male,59,Advanced,Flexibility,Pigeon Pose
19.4,Female,36,Advanced,Flexibility,Child's Pose
27.0,Female,55,Advanced,Endurance,Battle Ropes
16.1,Female,57,Advanced,Flexibility,Forward Fold
30.2,Female,55,Beginner,Strength,Lat Pulldown
29.9,Female,45,Beginner,Flexibility,Shoulder Pass-Throughs
15.2,Female,30,Beginner,Strength,Machine Chest Fly
28.1,Female,49,Intermediate,Fat Loss,Dumbbell Lunges
23.7,Female,48,Beginner,Fat Loss,Elliptical Trainer
23.8,Female,59,Intermediate,Fat Loss,Kettlebell Swing
25.9,Female,55,Beginner,Flexibility,Shoulder Pass-Throughs
27.8,Male,46,Beginner,Fat Loss,Running (Treadmill)
22.1,Male,38,Intermediate,Fat Loss,Burpees
17.8,Male,60,Advanced,Flexibility,Pigeon Pose
22.6,Male,33,Beginner,Flexibility,Spiderman Stretch
24.1,Male,21,Advanced,Endurance,Recumbent Bike
33.7,Male,45,Advanced,Flexibility,Cat-Cow Stretch
27.2,Male,53,Beginner,Endurance,Plank
16.6,Male,51,Intermediate,Endurance,Cycling (Outdoor)
22.7,Female,34,Beginner,Endurance,Push Ups
32.1,Male,36,Advanced,Endurance,Plank
24.9,Male,53,Advanced,Strength,Lat Pulldown
32.2,Male,55,Advanced,Flexibility,Cat-Cow Stretch
24.4,Male,35,Intermediate,Fat Loss,Running (Treadmill)
23.3,Female,36,Intermediate,Fat Loss,Step Ups
25.9,Female,55,Beginner,Flexibility,Spiderman Stretch
17.1,Male,48,Advanced,Strength,Machine Leg Extension
19.7,Male,18,Advanced,Flexibility,Spiderman Stretch
33.4,Male,60,Intermediate,Strength,Machine Leg Extension
29.4,Male,59,Advanced,Flexibility,Forward Fold
21.0,Female,60,Intermediate,Strength,Machine Chest Fly
18.2,Male,34,Intermediate,Endurance,Push Ups
19.0,Female,27,Intermediate,Flexibility,Forward Fold
21.7,Female,56,Beginner,Fat Loss,Running (Treadmill)
24.5,Female,18,Advanced,Fat Loss,Burpees
33.5,Male,48,Beginner,Strength,Pull Ups
21.5,Female,57,Intermediate,Flexibility,Hamstring Stretch (Standing)
22.9,Male,59,Advanced,Fat Loss,Dumbbell Lunges
27.2,Male,53,Beginner,Endurance,Plank
30.5,Female,60,Advanced,Fat Loss,Jump Rope
28.1,Female,49,Intermediate,Fat Loss,Dumbbell Lunges
16.6,Male,51,Intermediate,Endurance,Plank
33.5,Male,32,Advanced,Strength,Bench Press
30.7,Female,57,Beginner,Fat Loss,Mountain Climbers
27.6,Male,58,Advanced,Endurance,Recumbent Bike
34.8,Female,50,Intermediate,Fat Loss,Elliptical Trainer
29.2,Female,30,Beginner,Fat Loss,Dumbbell Lunges
30.2,Female,47,Intermediate,Endurance,Kettlebell Clean & Press
33.8,Male,36,Advanced,Fat Loss,Mountain Climbers
17.1,Male,60,Beginner,Fat Loss,Jumping Jacks
34.6,Male,38,Intermediate,Flexibility,Spiderman Stretch
23.8,Female,59,Intermediate,Fat Loss,Jump Rope
23.0,Male,54,Beginner,Strength,Leg Press
32.0,Male,30,Beginner,Flexibility,Shoulder Pass-Throughs
17.0,Male,51,Intermediate,Strength,T-Bar Row
30.3,Female,60,Advanced,Fat Loss,Goblet Squat
20.5,Male,19,Advanced,Strength,Machine Chest Fly
15.9,Male,19,Intermediate,Flexibility,Spiderman Stretch
20.5,Male,59,Intermediate,Endurance,Recumbent Bike
31.3,Female,52,Beginner,Endurance,Plank
22.7,Female,30,Advanced,Endurance,Recumbent Bike
21.7,Male,55,Beginner,Endurance,Push Ups
16.2,Female,54,Advanced,Flexibility,Pigeon Pose
19.2,Male,47,Beginner,Endurance,Running (Outdoor)
20.7,Male,45,Advanced,Endurance,Recumbent Bike
17.9,Female,34,Advanced,Endurance,Plank
33.1,Male,19,Advanced,Flexibility,Deep Squat Hold
29.7,Male,33,Beginner,Endurance,Plank
23.1,Female,38,Advanced,Strength,Leg Press
27.9,Male,25,Intermediate,Flexibility,Cat-Cow Stretch
34.3,Female,21,Beginner,Flexibility,Cat-Cow Stretch
24.1,Male,21,Advanced,Endurance,Recumbent Bike
28.7,Male,58,Advanced,Endurance,Plank
27.1,Female,47,Intermediate,Strength,Lat Pulldown
26.3,Male,25,Beginner,Strength,Machine Leg Extension
30.2,Female,55,Advanced,Strength,Lat Pulldown
32.5,Male,59,Intermediate,Flexibility,Shoulder Pass-Throughs
31.9,Male,27,Beginner,Flexibility,Spiderman Stretch
34.5,Female,23,Advanced,Strength,Lat Pulldown
21.6,Female,35,Intermediate,Fat Loss,Jumping Jacks
21.5,Female,57,Intermediate,Flexibility,Spiderman Stretch
27.2,Male,53,Beginner,Endurance,Air Squats
26.1,Male,46,Advanced,Flexibility,Spiderman Stretch
25.8,Male,32,Beginner,Flexibility,Deep Squat Hold
35.0,Female,56,Intermediate,Endurance,Cycling (Outdoor)
28.6,Female,36,Advanced,Flexibility,Deep Squat Hold
19.4,Female,27,Beginner,Endurance,Air Squats
22.6,Male,60,Advanced,Strength,Dumbbell Rows
30.3,Male,59,Beginner,Flexibility,Spiderman Stretch
26.0,Female,55,Beginner,Strength,Machine Leg Extension
22.1,Male,38,Intermediate,Fat Loss,Burpees
25.8,Male,51,Intermediate,Flexibility,Forward Fold
29.4,Female,50,Beginner,Fat Loss,Mountain Climbers
23.0,Male,54,Beginner,Strength,Overhead Press
30.3,Male,59,Beginner,Flexibility,Shoulder Pass-Throughs
30.1,Male,48,Intermediate,Fat Loss,Running (Treadmill)
16.6,Male,51,Intermediate,Endurance,Air Squats
17.9,Female,54,Intermediate,Endurance,Kettlebell Clean & Press
20.9,Female,27,Intermediate,Fat Loss,Goblet Squat
25.8,Male,51,Intermediate,Flexibility,Forward Fold
22.3,Male,32,Beginner,Strength,Lat Pulldown
33.0,Female,24,Beginner,Fat Loss,Kettlebell Swing
26.2,Male,26,Beginner,Flexibility,Deep Squat Hold
32.4,Male,50,Advanced,Endurance,Running (Outdoor)
34.7,Male,59,Intermediate,Strength,Dumbbell Rows
24.4,Male,35,Intermediate,Fat Loss,Dumbbell Lunges
23.4,Female,46,Intermediate,Endurance,Plank
27.6,Male,58,Advanced,Endurance,Wall Sit
25.3,Female,19,Intermediate,Flexibility,Cat-Cow Stretch
33.6,Male,38,Advanced,Flexibility,Cat-Cow Stretch
22.5,Female,59,Advanced,Strength,Bench Press
27.2,Male,53,Beginner,Endurance,Push Ups
29.6,Male,22,Intermediate,Endurance,Kettlebell Clean & Press
25.3,Female,37,Intermediate,Endurance,Running (Outdoor)
27.6,Male,58,Advanced,Endurance,Recumbent Bike
21.0,Female,60,Beginner,Strength,Lat Pulldown
32.7,Male,24,Beginner,Flexibility,Forward Fold
34.6,Female,50,Advanced,Fat Loss,Goblet Squat
25.6,Male,25,Intermediate,Endurance,Push Ups
29.4,Male,49,Intermediate,Strength,Deadlift
20.7,Male,19,Intermediate,Fat Loss,Goblet Squat
29.4,Male,49,Intermediate,Strength,Machine Leg Extension
29.5,Female,27,Intermediate,Flexibility,Forward Fold
18.3,Female,46,Beginner,Fat Loss,Kettlebell Swing
20.5,Male,59,Intermediate,Endurance,Wall Sit
34.3,Female,36,Beginner,Endurance,Wall Sit
17.2,Female,59,Intermediate,Endurance,Plank
18.0,Female,52,Intermediate,Strength,Bench Press
15.1,Male,32,Beginner,Fat Loss,Running (Treadmill)
17.1,Female,33,Advanced,Strength,Dumbbell Rows
27.8,Male,55,Beginner,Endurance,Wall Sit
34.6,Female,50,Advanced,Fat Loss,Kettlebell Swing
20.7,Male,37,Beginner,Endurance,Wall Sit
21.0,Male,20,Beginner,Endurance,Recumbent Bike
32.4,Male,60,Intermediate,Strength,Deadlift
29.4,Female,50,Beginner,Fat Loss,Goblet Squat
29.0,Male,58,Beginner,Strength,Barbell Squat
23.9,Male,25,Beginner,Fat Loss,Burpees
19.2,Male,30,Intermediate,Flexibility,Child's Pose
23.7,Female,48,Beginner,Fat Loss,Elliptical Trainer
30.3,Male,59,Beginner,Flexibility,Hamstring Stretch (Standing)
31.1,Female,39,Advanced,Fat Loss,Running (Treadmill)
22.5,Female,59,Advanced,Strength,Leg Press
18.2,Male,34,Intermediate,Endurance,Recumbent Bike
20.2,Female,19,Advanced,Fat Loss,Mountain Climbers
33.1,Male,19,Advanced,Flexibility,Forward Fold
34.7,Female,51,Advanced,Endurance,Push Ups
29.7,Male,34,Advanced,Fat Loss,Mountain Climbers
15.2,Female,23,Intermediate,Endurance,Push Ups
27.3,Female,20,Advanced,Strength,T-Bar Row
17.9,Female,34,Advanced,Endurance,Kettlebell Clean & Press
31.0,Female,32,Intermediate,Strength,Machine Leg Extension
23.2,Male,58,Intermediate,Fat Loss,Jumping Jacks
28.4,Male,45,Advanced,Flexibility,Cat-Cow Stretch
33.7,Male,45,Advanced,Flexibility,Hamstring Stretch (Standing)
15.9,Male,19,Intermediate,Flexibility,Forward Fold
19.3,Male,49,Advanced,Strength,Barbell Squat
33.6,Male,53,Beginner,Fat Loss,Elliptical Trainer
31.8,Female,47,Beginner,Flexibility,Child's Pose
19.6,Male,52,Intermediate,Endurance,Cycling (Outdoor)
17.5,Female,23,Intermediate,Flexibility,Child's Pose
20.2,Female,19,Advanced,Fat Loss,Goblet Squat
21.7,Male,55,Beginner,Endurance,Battle Ropes
34.7,Male,24,Beginner,Flexibility,Shoulder Pass-Throughs
19.7,Male,18,Advanced,Flexibility,Forward Fold
20.7,Female,46,Advanced,Fat Loss,Step Ups
24.2,Female,25,Intermediate,Endurance,Battle Ropes
23.8,Male,48,Intermediate,Flexibility,Hamstring Stretch (Standing)
25.3,Female,19,Intermediate,Flexibility,Cat-Cow Stretch
19.5,Male,32,Intermediate,Endurance,Running (Outdoor)
24.9,Male,45,Beginner,Flexibility,Cat-Cow Stretch
29.6,Male,58,Beginner,Strength,Barbell Squat
26.0,Female,55,Beginner,Strength,Machine Leg Extension
29.7,Male,33,Beginner,Endurance,Kettlebell Clean & Press
33.7,Male,45,Advanced,Flexibility,Forward Fold
28.7,Female,21,Beginner,Strength,Barbell Squat
33.4,Male,39,Advanced,Flexibility,Hamstring Stretch (Standing)
19.4,Female,27,Beginner,Endurance,Wall Sit
20.2,Female,19,Advanced,Fat Loss,Kettlebell Swing
22.2,Male,60,Intermediate,Strength,Lat Pulldown
21.0,Female,60,Beginner,Strength,Dumbbell Rows
26.1,Male,46,Advanced,Flexibility,Shoulder Pass-Throughs
19.9,Female,22,Intermediate,Strength,Bench Press
19.5,Male,47,Advanced,Fat Loss,Goblet Squat
28.2,Male,45,Beginner,Flexibility,Deep Squat Hold
24.4,Male,25,Advanced,Strength,Deadlift
17.6,Male,34,Intermediate,Flexibility,Pigeon Pose
25.6,Male,25,Intermediate,Endurance,Battle Ropes
28.7,Female,45,Beginner,Endurance,Plank
24.6,Male,47,Intermediate,Flexibility,Pigeon Pose
29.9,Female,45,Beginner,Flexibility,Shoulder Pass-Throughs
18.3,Male,36,Advanced,Endurance,Wall Sit
28.2,Male,45,Beginner,Flexibility,Spiderman Stretch
21.6,Male,25,Intermediate,Strength,Overhead Press
31.5,Male,27,Intermediate,Endurance,Air Squats
25.2,Female,39,Beginner,Endurance,Air Squats
24.5,Male,37,Advanced,Endurance,Cycling (Outdoor)
20.9,Male,23,Advanced,Fat Loss,Kettlebell Swing
32.3,Male,54,Beginner,Strength,Barbell Squat
26.6,Female,23,Beginner,Fat Loss,Goblet Squat
25.8,Male,51,Intermediate,Flexibility,Forward Fold
19.7,Female,30,Intermediate,Flexibility,Shoulder Pass-Throughs
19.0,Male,56,Intermediate,Fat Loss,Running (Treadmill)
29.7,Male,34,Advanced,Fat Loss,Mountain Climbers
28.8,Female,19,Beginner,Fat Loss,Jump Rope
20.4,Female,32,Beginner,Strength,Machine Chest Fly
28.4,Male,45,Advanced,Flexibility,Hamstring Stretch (Standing)
31.2,Male,36,Intermediate,Fat Loss,Elliptical Trainer
22.1,Male,58,Advanced,Fat Loss,Running (Treadmill)
30.8,Female,27,Beginner,Flexibility,Deep Squat Hold
32.6,Male,33,Advanced,Flexibility,Shoulder Pass-Throughs
19.9,Male,36,Intermediate,Strength,Deadlift
17.5,Female,23,Intermediate,Flexibility,Pigeon Pose
22.8,Female,58,Intermediate,Flexibility,Hamstring Stretch (Standing)
16.6,Female,35,Advanced,Strength,Bench Press
16.7,Female,20,Intermediate,Endurance,Recumbent Bike
33.0,Female,24,Beginner,Fat Loss,Dumbbell Lunges
16.6,Male,51,Intermediate,Endurance,Air Squats
22.5,Female,38,Advanced,Strength,T-Bar Row
23.8,Male,48,Intermediate,Flexibility,Cat-Cow Stretch
29.1,Female,37,Intermediate,Endurance,Push Ups
27.7,Female,46,Intermediate,Flexibility,Spiderman Stretch
27.9,Male,25,Intermediate,Flexibility,Forward Fold
24.6,Male,47,Intermediate,Flexibility,Child's Pose
33.1,Female,46,Intermediate,Strength,Overhead Press
31.5,Female,24,Beginner,Flexibility,Deep Squat Hold
16.9,Male,27,Advanced,Strength,Pull Ups
25.6,Male,51,Beginner,Strength,Dumbbell Rows
29.8,Male,26,Advanced,Fat Loss,Jump Rope
32.2,Female,21,Intermediate,Strength,Lat Pulldown
27.7,Female,46,Intermediate,Flexibility,Spiderman Stretch
20.9,Female,35,Intermediate,Strength,Dumbbell Rows
18.5,Female,23,Beginner,Strength,Pull Ups
23.3,Female,51,Beginner,Fat Loss,Mountain Climbers
26.0,Female,47,Intermediate,Strength,Dumbbell Rows
27.0,Female,46,Beginner,Flexibility,Shoulder Pass-Throughs
27.3,Female,20,Advanced,Strength,Barbell Squat
34.5,Female,23,Advanced,Strength,T-Bar Row
20.1,Male,53,Advanced,Endurance,Battle Ropes
33.8,Male,26,Intermediate,Fat Loss,Kettlebell Swing
15.1,Female,55,Beginner,Fat Loss,Running (Treadmill)
30.7,Female,57,Beginner,Fat Loss,Jump Rope
34.3,Male,59,Beginner,Fat Loss,Running (Treadmill)
19.7,Female,30,Intermediate,Flexibility,Hamstring Stretch (Standing)
16.4,Female,34,Beginner,Strength,Pull Ups
23.8,Male,48,Intermediate,Flexibility,Cat-Cow Stretch
32.3,Male,30,Intermediate,Fat Loss,Jump Rope
18.2,Male,34,Intermediate,Endurance,Running (Outdoor)
26.3,Male,25,Beginner,Strength,Machine Leg Extension
32.7,Male,58,Beginner,Fat Loss,Dumbbell Lunges
30.2,Female,55,Beginner,Strength,Lat Pulldown
29.4,Male,37,Beginner,Endurance,Cycling (Outdoor)
20.0,Male,57,Beginner,Strength,Deadlift
23.5,Female,27,Advanced,Endurance,Recumbent Bike
24.6,Female,56,Beginner,Fat Loss,Dumbbell Lunges
31.1,Female,39,Advanced,Fat Loss,Goblet Squat
31.5,Male,22,Beginner,Endurance,Running (Outdoor)
28.4,Male,45,Advanced,Flexibility,Child's Pose
19.7,Male,18,Advanced,Flexibility,Forward Fold
22.5,Female,59,Advanced,Strength,Leg Press
15.6,Male,33,Beginner,Fat Loss,Jump Rope
29.3,Female,21,Beginner,Strength,Barbell Squat
31.6,Female,56,Beginner,Flexibility,Deep Squat Hold
27.3,Male,51,Beginner,Endurance,Cycling (Outdoor)
21.7,Female,56,Beginner,Fat Loss,Running (Treadmill)
15.7,Female,45,Advanced,Flexibility,Child's Pose
21.1,Female,18,Beginner,Endurance,Running (Outdoor)
24.5,Female,18,Advanced,Fat Loss,Mountain Climbers
19.7,Male,18,Advanced,Flexibility,Forward Fold
15.5,Female,25,Beginner,Strength,Machine Chest Fly
18.6,Male,56,Intermediate,Flexibility,Shoulder Pass-Throughs
28.2,Male,45,Beginner,Flexibility,Child's Pose
34.1,Male,34,Beginner,Endurance,Running (Outdoor)
19.9,Male,37,Advanced,Fat Loss,Goblet Squat
23.7,Female,48,Beginner,Fat Loss,Mountain Climbers
24.9,Female,47,Beginner,Endurance,Wall Sit
30.9,Male,51,Advanced,Endurance,Running (Outdoor)
30.1,Male,52,Intermediate,Fat Loss,Jump Rope
18.9,Male,46,Intermediate,Flexibility,Pigeon Pose
30.9,Male,34,Beginner,Flexibility,Deep Squat Hold
22.1,Male,58,Advanced,Fat Loss,Goblet Squat
33.1,Male,19,Advanced,Flexibility,Deep Squat Hold
29.9,Female,45,Beginner,Flexibility,Spiderman Stretch
29.0,Male,58,Beginner,Strength,T-Bar Row
31.4,Male,19,Advanced,Endurance,Wall Sit
17.9,Female,34,Advanced,Endurance,Push Ups
31.1,Female,49,Advanced,Flexibility,Forward Fold
29.7,Male,34,Advanced,Fat Loss,Jumping Jacks
17.8,Male,60,Advanced,Flexibility,Shoulder Pass-Throughs
18.6,Male,38,Intermediate,Endurance,Wall Sit
27.1,Female,33,Beginner,Flexibility,Child's Pose
19.3,Male,49,Advanced,Strength,T-Bar Row
31.1,Female,49,Advanced,Flexibility,Child's Pose
17.8,Male,60,Advanced,Flexibility,Pigeon Pose
22.2,Male,60,Intermediate,Strength,Pull Ups
33.4,Male,60,Intermediate,Strength,Machine Chest Fly
29.6,Male,58,Beginner,Strength,Deadlift
16.8,Male,51,Intermediate,Fat Loss,Elliptical Trainer
25.2,Female,39,Beginner,Endurance,Plank
23.9,Female,57,Intermediate,Flexibility,Deep Squat Hold
16.3,Female,60,Beginner,Flexibility,Forward Fold
20.5,Male,19,Advanced,Strength,Overhead Press
32.3,Male,54,Beginner,Strength,Lat Pulldown
29.0,Female,33,Beginner,Flexibility,Shoulder Pass-Throughs
15.8,Female,56,Intermediate,Endurance,Wall Sit
28.8,Female,19,Beginner,Fat Loss,Elliptical Trainer
30.2,Female,55,Advanced,Strength,Leg Press
32.7,Female,51,Intermediate,Endurance,Recumbent Bike
29.1,Female,26,Advanced,Strength,T-Bar Row
34.7,Female,51,Advanced,Endurance,Wall Sit
23.9,Male,25,Beginner,Fat Loss,Elliptical Trainer
22.1,Male,24,Advanced,Strength,Leg Press
25.6,Male,51,Beginner,Strength,Leg Press
20.4,Female,32,Beginner,Strength,Bench Press
22.9,Male,59,Advanced,Fat Loss,Kettlebell Swing
28.6,Female,39,Intermediate,Fat Loss,Running (Treadmill)
22.7,Female,21,Advanced,Fat Loss,Kettlebell Swing
32.3,Male,60,Advanced,Strength,Barbell Squat
19.1,Female,60,Beginner,Strength,Bench Press
17.8,Male,60,Advanced,Flexibility,Child's Pose
26.2,Male,26,Beginner,Flexibility,Spiderman Stretch
15.7,Male,31,Intermediate,Endurance,Recumbent Bike
